object_id,ecotaxa_img_classif,pros_pred_mask_pixel_area,pros_pred_mask_mm2_area,lip_pred_mask_pixel_area,lip_pred_mask_mm2_area,apsilon_lip_pred_mask_pixel_area,apsilon_lip_pred_mask_mm2_area,object_lat,object_lon,object_date,object_time,object_depth_min,sample_id,sample_lat,sample_long,stage,orientation,species,total_lipids,apsilon_total_lipids,fullness_ratio,month,year,species_stage
20150422 181602  760  000001 0314 0638,cvstage+lateral<Calanus finmarchicus,9512,5.031847999999999,3326,1.759454,3256,1.722424,67.4797,-63.7895,2015-04-22,18:16:02,331.38972581906694,20150422_St-Qikiqtarjuak-Ice Camp_cast#1,67.4797,-63.7895,cvstage,lateral,Calanus finmarchicus,0.4296232256527191,0.4171954087451379,0.3423044575273339,4,2015,Calanus finmarchicus_cvstage
20150422 181605  092  000002 0128 0428,female+lateral<Calanus hyperboreus,23752,12.564808,9560,5.057239999999999,7156,3.785524,67.4797,-63.7895,2015-04-22,18:16:05,330.28939551296503,20150422_St-Qikiqtarjuak-Ice Camp_cast#1,67.4797,-63.7895,female,lateral,Calanus hyperboreus,1.8444502471607211,1.2367448528939329,0.3012798922196026,4,2015,Calanus hyperboreus_female
20150422 181605  225  000000 0956 0422,female+ventral<Calanus hyperboreus,29914,15.824506,13369,7.072201,7666,4.055314,67.4797,-63.7895,2015-04-22,18:16:05,330.28939551296503,20150422_St-Qikiqtarjuak-Ice Camp_cast#1,67.4797,-63.7895,female,ventral,Calanus hyperboreus,2.9298917016343102,1.3600034753206096,0.2562679681754363,4,2015,Calanus hyperboreus_female
20150422 181605  525  000000 0224 0296,cvstage+lateral<Calanus finmarchicus,3387,1.791723,1413,0.747477,923,0.488267,67.4797,-63.7895,2015-04-22,18:16:05,330.28939551296503,20150422_St-Qikiqtarjuak-Ice Camp_cast#1,67.4797,-63.7895,cvstage,lateral,Calanus finmarchicus,0.1318351558464212,0.0732509735303571,0.2725125479775612,4,2015,Calanus finmarchicus_cvstage
20150422 181605  692  000000 0320 0482,cvstage+ventral<Calanus glacialis,6330,3.34857,2588,1.369052,2889,1.528281,67.4797,-63.7895,2015-04-22,18:16:05,330.28939551296503,20150422_St-Qikiqtarjuak-Ice Camp_cast#1,67.4797,-63.7895,cvstage,ventral,Calanus glacialis,0.3038965354216834,0.3537257379677334,0.4563981042654028,4,2015,Calanus glacialis_cvstage
20150422 181606  691  000000 0146 0350,civstage+lateral<Calanus hyperboreus,8083,4.275906999999999,3722,1.968938,2561,1.354769,67.4797,-63.7895,2015-04-22,18:16:06,329.922751730765,20150422_St-Qikiqtarjuak-Ice Camp_cast#1,67.4797,-63.7895,civstage,lateral,Calanus hyperboreus,0.5017720224786022,0.2995299623140511,0.3168378077446493,4,2015,Calanus hyperboreus_civstage
20150422 181606  825  000001 0656 0068,civstage+lateral<Calanus hyperboreus,7874,4.165346,3317,1.754693,3042,1.609218,67.4797,-63.7895,2015-04-22,18:16:06,329.922751730765,20150422_St-Qikiqtarjuak-Ice Camp_cast#1,67.4797,-63.7895,civstage,lateral,Calanus hyperboreus,0.4280197453267551,0.3798348098185107,0.3863347726695453,4,2015,Calanus hyperboreus_civstage
20150422 181606  924  000000 0578 0056,civstage+lateral<Calanus hyperboreus,7601,4.020929,2356,1.246324,2606,1.378574,67.4797,-63.7895,2015-04-22,18:16:06,329.922751730765,20150422_St-Qikiqtarjuak-Ice Camp_cast#1,67.4797,-63.7895,civstage,lateral,Calanus hyperboreus,0.2669543170302288,0.306817227556363,0.3428496250493356,4,2015,Calanus hyperboreus_civstage
20150422 181607  957  000000 0224 0518,female+lateral<Calanus hyperboreus,29725,15.724525,9833,5.201657,6080,3.21632,67.4797,-63.7895,2015-04-22,18:16:07,329.5663811557376,20150422_St-Qikiqtarjuak-Ice Camp_cast#1,67.4797,-63.7895,female,lateral,Calanus hyperboreus,1.917528323730057,0.9876930389546992,0.2045416316232128,4,2015,Calanus hyperboreus_female
20150422 181609  290  000000 0320 0110,cvstage+lateral<Calanus glacialis,7680,4.06272,3560,1.88324,3392,1.794368,67.4797,-63.7895,2015-04-22,18:16:09,328.81932948852375,20150422_St-Qikiqtarjuak-Ice Camp_cast#1,67.4797,-63.7895,cvstage,lateral,Calanus glacialis,0.4718848677719937,0.4414323101738101,0.4416666666666667,4,2015,Calanus glacialis_cvstage
20150422 181609  323  000000 0506 0140,civstage+lateral<Calanus hyperboreus,8520,4.507079999999999,3642,1.926618,3742,1.979518,67.4797,-63.7895,2015-04-22,18:16:09,328.81932948852375,20150422_St-Qikiqtarjuak-Ice Camp_cast#1,67.4797,-63.7895,civstage,lateral,Calanus hyperboreus,0.4869497786819368,0.5054966413085029,0.4392018779342724,4,2015,Calanus hyperboreus_civstage
20150422 181609  723  000000 0374 0230,civstage+lateral<Calanus glacialis,3783,2.001207,1434,0.758586,852,0.4507079999999999,67.4797,-63.7895,2015-04-22,18:16:09,328.81932948852375,20150422_St-Qikiqtarjuak-Ice Camp_cast#1,67.4797,-63.7895,civstage,lateral,Calanus glacialis,0.1345466479624916,0.065590613691151,0.2252180808881839,4,2015,Calanus glacialis_civstage
20150422 181615  621  000000 0308 0362,female+lateral<Calanus hyperboreus,23349,12.351621,7639,4.041030999999999,5460,2.88834,67.4797,-63.7895,2015-04-22,18:16:15,326.5020729619042,20150422_St-Qikiqtarjuak-Ice Camp_cast#1,67.4797,-63.7895,female,lateral,Calanus hyperboreus,1.3533977103207566,0.8514534322860607,0.2338429911345239,4,2015,Calanus hyperboreus_female
20150422 181619  419  000000 0314 0386,female+lateral<Calanus hyperboreus,28201,14.918329,10765,5.694685,6828,3.612012,67.4797,-63.7895,2015-04-22,18:16:19,324.9773494857095,20150422_St-Qikiqtarjuak-Ice Camp_cast#1,67.4797,-63.7895,female,lateral,Calanus hyperboreus,2.1727733244140475,1.1592046130537486,0.2421190737917095,4,2015,Calanus hyperboreus_female
20150422 181619  486  000001 0836 0440,female+lateral<Calanus hyperboreus,27390,14.48931,10667,5.642842999999999,7911,4.184919,67.4797,-63.7895,2015-04-22,18:16:19,324.9773494857095,20150422_St-Qikiqtarjuak-Ice Camp_cast#1,67.4797,-63.7895,female,lateral,Calanus hyperboreus,2.145524216616862,1.420346692212737,0.288828039430449,4,2015,Calanus hyperboreus_female
20150422 181620  852  000000 0374 0416,cvstage+lateral<Calanus glacialis,7928,4.193912,3294,1.742526,3188,1.686452,67.4797,-63.7895,2015-04-22,18:16:20,324.60990778450576,20150422_St-Qikiqtarjuak-Ice Camp_cast#1,67.4797,-63.7895,cvstage,lateral,Calanus glacialis,0.4239294761359681,0.4052194895405073,0.4021190716448032,4,2015,Calanus glacialis_cvstage
20150422 181620  952  000000 0146 0506,civstage+lateral<Calanus hyperboreus,7876,4.166404,3197,1.691213,3486,1.844094,67.4797,-63.7895,2015-04-22,18:16:20,324.60990778450576,20150422_St-Qikiqtarjuak-Ice Camp_cast#1,67.4797,-63.7895,civstage,lateral,Calanus hyperboreus,0.4067990140155942,0.4584023567786967,0.4426104621635348,4,2015,Calanus hyperboreus_civstage
20150422 181623  284  000000 0392 0440,civstage+lateral<Calanus glacialis,4035,2.134515,1561,0.825769,1162,0.614698,67.4797,-63.7895,2015-04-22,18:16:23,323.522344182463,20150422_St-Qikiqtarjuak-Ice Camp_cast#1,67.4797,-63.7895,civstage,lateral,Calanus glacialis,0.1512624254123085,0.1006513282117594,0.2879801734820322,4,2015,Calanus glacialis_civstage
20150422 181630  048  000000 0146 0200,civstage+lateral<Calanus hyperboreus,7493,3.963797,3699,1.956771,3387,1.791723,67.4797,-63.7895,2015-04-22,18:16:30,320.9650137756053,20150422_St-Qikiqtarjuak-Ice Camp_cast#1,67.4797,-63.7895,civstage,lateral,Calanus hyperboreus,0.4974981049474458,0.440534600970557,0.4520218870946216,4,2015,Calanus hyperboreus_civstage
