u0,I0,Ks,KsIA,maxReserveFrac,rm,preySatVersion,id,species,scenario,cost
0.007,0.30244277302920053,0.9905464908060145,0.5726613266262152,0.8042004481693326,0.14241413128029756,default,30,glacialis,noIA,0.2558080199527498
0.007,0.32916166664113244,1.3901140640252856,0.3420159093243243,0.8898834595738628,0.11557039424634252,default,31,glacialis,noIA,0.25916218330127305
0.007,0.30890656224388413,0.5639091674205418,0.7335665162655055,0.8595202769209369,0.19746493504506724,default,32,glacialis,noIA,0.2646510943401184
0.007,0.30340368982823673,0.5398982349837105,0.14211217011353544,0.8777162936438969,0.19066018612309654,default,33,glacialis,noIA,0.27523040529554577
0.007,0.3173944201836154,1.0866786805504525,0.17426659059922725,0.7660049922485663,0.1282111706272465,default,34,glacialis,noIA,0.2814033811300213
0.007,0.3014362977839435,0.7352354763968151,0.4467555115918177,0.9260748585726712,0.13389924689344856,default,35,glacialis,noIA,0.28327479675742845
0.007,0.3663610750525427,0.6236621597391923,0.1880426711686931,0.8148414847969809,0.21735321920529643,default,36,glacialis,noIA,0.2895939242685453
0.007,0.3628070326669617,0.6195505635451312,0.269377254361966,0.7600755338929504,0.18324782543731172,default,37,glacialis,noIA,0.29555670414468793
0.007,0.3307540093378406,0.9483223512826762,0.3629585487929927,0.8539834042267926,0.13654978043557575,default,38,glacialis,noIA,0.3033992714356611
0.007,0.3258587561570065,1.2439916744041986,0.5046546405719337,0.877172407642179,0.09096330506842687,default,39,glacialis,noIA,0.3124671803129471
