object_id,ecotaxa_img_classif,pros_pred_mask_pixel_area,pros_pred_mask_mm2_area,lip_pred_mask_pixel_area,lip_pred_mask_mm2_area,apsilon_lip_pred_mask_pixel_area,apsilon_lip_pred_mask_mm2_area,prosome_length_mm,object_lat,object_lon,object_date,object_time,object_depth_min,sample_id,sample_lat,sample_long,stage,orientation,species,total_lipids_mg,apsilon_total_lipids_mg,total_lipids_ugC,apsilon_total_lipids_ugC,fullness_ratio_area,month,total_body_ugC,fullness_ratio_ugC,year,species_stage
20150422 181547  766  000000 0440 0722,female+lateral<Calanus hyperboreus,26351,13.939679,10157,5.373053,6875,3.636875,7.460943616243299,67.4797,-63.7895,2015-04-22,18:15:47,337.18650764107014,20150422_St-Qikiqtarjuak-Ice Camp_cast#1,67.4797,-63.7895,female,lateral,Calanus hyperboreus,2.0052631728137,1.1702304191072972,1804.73685553233,1053.2073771965674,0.2609009145762969,4,1413.334839295353,0.7451931049273968,2015,Calanus hyperboreus_female
20150422 181549  232  000000 0380 0458,civstage+lateral<Calanus glacialis,3149,1.665821,1455,0.7696949999999999,413,0.218477,2.3747340337226355,67.4797,-63.7895,2015-04-22,18:15:49,336.3888878569968,20150422_St-Qikiqtarjuak-Ice Camp_cast#1,67.4797,-63.7895,civstage,lateral,Calanus glacialis,0.1372732716366122,0.0241460516263225,123.54594447295102,21.731446463690308,0.1311527469037789,4,62.41570903839621,0.3481727084173921,2015,Calanus glacialis_civstage
20150422 181549  965  000000 0440 0332,cvstage+lateral<Calanus glacialis,7227,3.823083,2890,1.52881,2820,1.49178,3.972060655594414,67.4797,-63.7895,2015-04-22,18:15:49,336.3888878569968,20150422_St-Qikiqtarjuak-Ice Camp_cast#1,67.4797,-63.7895,cvstage,lateral,Calanus glacialis,0.3538947146446308,0.3421202833526399,318.5052431801678,307.9082550173759,0.390203403902034,4,514.324934510919,0.5986648407590263,2015,Calanus glacialis_cvstage
20150422 181551  631  000000 0404 0848,civstage+ventral<Calanus glacialis,3408,1.802832,1464,0.7744559999999999,1002,0.5300579999999999,2.7515282553269653,67.4797,-63.7895,2015-04-22,18:15:51,335.5766063112304,20150422_St-Qikiqtarjuak-Ice Camp_cast#1,67.4797,-63.7895,civstage,ventral,Calanus glacialis,0.1384464229875059,0.0820412954363815,124.60178068875538,73.83716589274341,0.2940140845070422,4,114.16311506914684,0.6467690185925759,2015,Calanus glacialis_civstage
20150422 181554  363  000000 0308 0440,civstage+lateral<Calanus hyperboreus,7443,3.937346999999999,2905,1.536745,3105,1.642545,3.887295968044522,67.4797,-63.7895,2015-04-22,18:15:54,334.39219529011365,20150422_St-Qikiqtarjuak-Ice Camp_cast#1,67.4797,-63.7895,civstage,lateral,Calanus hyperboreus,0.3564320285159588,0.3907329783775742,320.78882566436295,351.6596805398168,0.4171704957678356,4,165.46046133098096,2.125339659463235,2015,Calanus hyperboreus_civstage
20150422 181602  760  000001 0314 0638,cvstage+lateral<Calanus finmarchicus,9512,5.031847999999999,3326,1.759454,3256,1.722424,4.073199436809675,67.4797,-63.7895,2015-04-22,18:16:02,331.38972581906694,20150422_St-Qikiqtarjuak-Ice Camp_cast#1,67.4797,-63.7895,cvstage,lateral,Calanus finmarchicus,0.4296232256527191,0.4171954087451379,386.66090308744725,375.4758678706241,0.3423044575273339,4,570.1757897767425,0.6585265011298447,2015,Calanus finmarchicus_cvstage
20150422 181605  092  000002 0128 0428,female+lateral<Calanus hyperboreus,23752,12.564808,9560,5.057239999999999,7156,3.785524,6.468830955260526,67.4797,-63.7895,2015-04-22,18:16:05,330.28939551296503,20150422_St-Qikiqtarjuak-Ice Camp_cast#1,67.4797,-63.7895,female,lateral,Calanus hyperboreus,1.8444502471607211,1.2367448528939329,1660.005222444649,1113.0703676045398,0.3012798922196026,4,883.8335643717547,1.2593664830954128,2015,Calanus hyperboreus_female
20150422 181605  225  000000 0956 0422,female+ventral<Calanus hyperboreus,29914,15.824506,13369,7.072201,7666,4.055314,6.95390840528877,67.4797,-63.7895,2015-04-22,18:16:05,330.28939551296503,20150422_St-Qikiqtarjuak-Ice Camp_cast#1,67.4797,-63.7895,female,ventral,Calanus hyperboreus,2.9298917016343102,1.3600034753206096,2636.9025314708792,1224.003127788549,0.2562679681754363,4,1121.209836118618,1.091680690231704,2015,Calanus hyperboreus_female
20150422 181605  525  000000 0224 0296,cvstage+lateral<Calanus finmarchicus,3387,1.791723,1413,0.747477,923,0.488267,2.5263188815758193,67.4797,-63.7895,2015-04-22,18:16:05,330.28939551296503,20150422_St-Qikiqtarjuak-Ice Camp_cast#1,67.4797,-63.7895,cvstage,lateral,Calanus finmarchicus,0.1318351558464212,0.0732509735303571,118.65164026177912,65.92587617732141,0.2725125479775612,4,80.44035782676433,0.8195621943813182,2015,Calanus finmarchicus_cvstage
20150422 181605  692  000000 0320 0482,cvstage+ventral<Calanus glacialis,6330,3.34857,2588,1.369052,2889,1.528281,3.8045600866993015,67.4797,-63.7895,2015-04-22,18:16:05,330.28939551296503,20150422_St-Qikiqtarjuak-Ice Camp_cast#1,67.4797,-63.7895,cvstage,ventral,Calanus glacialis,0.3038965354216834,0.3537257379677334,273.5068818795151,318.3531641709601,0.4563981042654028,4,431.0431418939311,0.7385645037110898,2015,Calanus glacialis_cvstage
